"word","LikeCount","Recent","Topic"
"1","lighting","Low Popularity","Top Priority","Comparison"
"2","differences","Low Popularity","Top Priority","Comparison"
"3","print","Low Popularity","Top Priority","Comparison"
"4","quality","Low Popularity","Top Priority","Comparison"
"5","shirt","Low Popularity","Top Priority","Comparison"
"6","idea","Low Popularity","Top Priority","Comparison"
"7","copyright","Low Popularity","Top Priority","Comparison"
"8","claim","Low Popularity","Top Priority","Comparison"
"9","price","Low Popularity","Top Priority","Comparison"
"10","differences","Low Popularity","Top Priority","Comparison"
"11","dude","Low Popularity","Top Priority","Comparison"
"12","thumbs","Low Popularity","Top Priority","Comparison"
"13","info","Low Popularity","Top Priority","Comparison"
"14","review","Low Popularity","Top Priority","Comparison"
"15","cool","Low Popularity","Top Priority","Comparison"
"16","shorter","Low Popularity","Top Priority","Comparison"
"17","organized","Low Popularity","Top Priority","Comparison"
"18","subscribed","Low Popularity","Top Priority","Comparison"
"19","glad","Low Popularity","Top Priority","Comparison"
"20","video","Low Popularity","Top Priority","Comparison"
"21","started","Low Popularity","Top Priority","Comparison"
"22","selling","Low Popularity","Top Priority","Comparison"
"23","brand","Low Popularity","Top Priority","Comparison"
"24","teespring","Low Popularity","Top Priority","Comparison"
"25","discovered","Low Popularity","Top Priority","Comparison"
"26","happy","Low Popularity","Top Priority","Comparison"
"27","question","Low Popularity","Top Priority","Comparison"
"28","printful","Low Popularity","Top Priority","Comparison"
"29","charge","Low Popularity","Top Priority","Comparison"
"30","separate","Low Popularity","Top Priority","Comparison"
"31","shipping","Low Popularity","Top Priority","Comparison"
"32","costs","Low Popularity","Top Priority","Comparison"
"33","design","Low Popularity","Top Priority","Comparison"
"34","added","Low Popularity","Top Priority","Comparison"
"35","customer","Low Popularity","Top Priority","Comparison"
"36","pays","Low Popularity","Top Priority","Comparison"
"37","price","Low Popularity","Top Priority","Comparison"
"38","shirts","Low Popularity","Top Priority","Comparison"
"39","ship","Low Popularity","Top Priority","Comparison"
"40","bundle","Low Popularity","Top Priority","Comparison"
"41","designs","Low Popularity","Top Priority","Comparison"
"42","times","Low Popularity","Top Priority","Comparison"
"43","information","Low Popularity","Top Priority","Comparison"
"44","shirt","Low Popularity","Top Priority","Comparison"
"45","size","Low Popularity","Top Priority","Comparison"
